JSON_PATH,FIELD,VALUE_TYPE,VALUE
[],$,object,
"[""artifact_type""]",artifact_type,string,CONCEPT_SCHEME
"[""source_report""]",source_report,string,example_01_labour_market.pdf
"[""source_sha256""]",source_sha256,string,fb3bd37fc247c713e56b54ba1e234b1d05501d32a34d31b3ad2f1ebf6395c0e9
"[""principles_file""]",principles_file,string,01_CONCEPT_SCHEME.txt
"[""principles_sha256""]",principles_sha256,string,618bb9784690488e3247b9e36acd0973bc8e6b4542b5bff1cc7ba73b7aa49362
"[""retrieved_chunk_ids""]",retrieved_chunk_ids,array,
"[""retrieved_chunk_ids"",0]",0,integer,1
"[""retrieved_chunk_ids"",1]",1,integer,2
"[""retrieved_chunk_ids"",2]",2,integer,3
"[""retrieved_chunk_ids"",3]",3,integer,4
"[""standard_references""]",standard_references,array,
"[""standard_references"",0]",0,object,
"[""standard_references"",0,""agency""]",agency,string,SDMX
"[""standard_references"",0,""artifact_type""]",artifact_type,string,Glossary / cross-domain concept guidance
"[""standard_references"",0,""artifact_id""]",artifact_id,string,SDMX_GLOSSARY
"[""standard_references"",0,""version""]",version,string,2.1
"[""standard_references"",0,""url""]",url,string,https://sdmx.org/wp-content/uploads/SDMx_Glossary_Version_2_1_December_2020.htm
"[""standard_references"",0,""evidence""]",evidence,string,"The supplied external excerpt identifies SDMX cross-domain concepts as reusable concepts with specified names, IDs, representations and codelists. It explicitly describes the convention that Observation Status has concept ID OBS_STATUS and codelist ID CL_OBS_STATUS, and includes glossary entries relevant to labour-market modelling such as labour force status, economic activity and frequency-related terms."
"[""standard_references"",0,""verification_status""]",verification_status,string,CONFIRMED
"[""standard_references"",1]",1,object,
"[""standard_references"",1,""agency""]",agency,string,SDMX
"[""standard_references"",1,""artifact_type""]",artifact_type,string,Global Registry catalog
"[""standard_references"",1,""artifact_id""]",artifact_id,string,SDMX_GLOBAL_REGISTRY_CODELISTS
"[""standard_references"",1,""version""]",version,string,not stated
"[""standard_references"",1,""url""]",url,string,https://registry.sdmx.org/items/codelist.html
"[""standard_references"",1,""evidence""]",evidence,string,"The supplied external excerpt confirms that the SDMX Global Registry provides searchable SDMX artefacts including Concept Schemes and Codelists, with fields and actions such as ID, name, latest version, codelist details, references, changelog and export options."
"[""standard_references"",1,""verification_status""]",verification_status,string,CONFIRMED
"[""standard_references"",2]",2,object,
"[""standard_references"",2,""agency""]",agency,string,UNSD
"[""standard_references"",2,""artifact_type""]",artifact_type,string,Geographic classification
"[""standard_references"",2,""artifact_id""]",artifact_id,string,UN_M49
"[""standard_references"",2,""version""]",version,string,not stated
"[""standard_references"",2,""url""]",url,string,https://unstats.un.org/unsd/methodology/m49/
"[""standard_references"",2,""evidence""]",evidence,string,"The supplied external excerpt shows UN M49 provides country or area names with numerical and alpha codes. The report uses synthetic/local regions, so applicability of UN M49 to the report areas is not confirmed."
"[""standard_references"",2,""verification_status""]",verification_status,string,CANDIDATE
"[""limitations""]",limitations,array,
"[""limitations"",0]",0,string,"The supplied external evidence confirms the SDMX OBS_STATUS concept and associated CL_OBS_STATUS codelist ID more directly than other candidate cross-domain concepts; exact standard concept scheme IDs and versions for REF_AREA, SEX, FREQ, TIME_PERIOD, OBS_VALUE, UNIT_MEASURE, ACTIVITY and SEASONAL_ADJUST were not confirmed from the supplied excerpts."
"[""limitations"",1]",1,string,The report states that quarterly unemployment rates and monthly vacancy counts represent different statistical structures; this concept scheme defines reusable meanings but does not force both tables into one DSD / Key Family.
"[""limitations"",2]",2,string,Age is not modelled as an age-disaggregation concept because the report gives a fixed population coverage statement for unemployment-rate estimates only.
"[""limitations"",3]",3,string,"Unemployment rate and job vacancies are treated as values of a local INDICATOR representation or as dataflow/structure-level descriptions, not as duplicate primary-measure concepts alongside OBS_VALUE in this concept scheme."
"[""limitations"",4]",4,string,The report's regions are synthetic/local and are not confirmed as UN M49 or ISO 3166 areas.
"[""limitations"",5]",5,string,"The report's industry labels are explicitly not confirmed ISIC categories, so ACTIVITY should use a local or later-confirmed industry aggregate codelist."
"[""limitations"",6]",6,string,"The report does not state decimals, unit multipliers, exact standard codelist versions, or formal agency identifiers for the Synthetic Labour Observatory."
"[""limitations"",7]",7,string,The report warns that total sex coverage includes respondents outside displayed women/men categories and must not be inferred by summing displayed rows.
"[""limitations"",8]",8,string,"Reference metadata concepts for methodology, source description, caveats, revision policy and confidentiality are included because the report supplies these statements; exact SDMX Global/MCS concept IDs were not confirmed from the supplied external evidence."
"[""concept_schemes""]",concept_schemes,array,
"[""concept_schemes"",0]",0,object,
